<pad>	100000
<unk>	100000
<bos>	100000
<eos>	100000
.	1848
the	1745
of	1073
,	813
to	809
and	788
a	546
in	506
is	482
The	308
that	278
for	268
on	247
you	197
I	192
be	185
are	183
with	182
it	162
's	153
was	151
by	140
can	133
this	132
have	129
as	128
from	119
?	103
or	102
will	99
not	91
at	90
his	90
one	89
an	88
we	83
has	79
It	71
't	71
your	70
they	70
more	64
their	63
all	63
but	63
:	61
;	61
he	60
up	59
my	58
which	57
also	55
time	55
This	54
were	53
A	53
do	53
He	51
been	51
In	51
its	50
our	49
into	48
had	48
out	47
people	47
some	47
system	46
like	44
about	44
than	43
me	43
there	43
what	43
development	43
other	42
-	42
so	41
!	39
her	39
But	39
should	39
when	38
You	37
We	37
them	37
who	37
new	35
To	35
any	35
paper	35
no	34
two	34
China	34
first	34
important	33
may	32
And	32
how	31
make	31
good	30
high	29
said	29
They	28
very	27
process	27
information	27
him	27
would	27
could	27
most	25
must	25
only	25
use	25
over	25
method	25
many	25
if	24
each	24
us	24
need	24
take	24
different	24
being	23
know	23
work	23
research	23
get	22
What	22
'	22
used	22
well	22
part	22
after	21
As	21
put	21
here	21
water	21
these	21
quality	21
made	21
government	21
just	20
If	20
she	20
're	20
control	20
long	20
management	20
look	20
country	20
'll	19
under	19
now	19
She	19
down	19
world	19
then	19
right	19
think	19
don	19
special	18
much	18
way	18
such	18
want	18
)	18
before	18
day	18
year	18
best	17
off	17
human	17
between	17
change	17
years	17
For	17
see	17
go	17
own	17
treatment	17
too	17
study	17
through	17
based	17
There	17
How	17
both	16
find	16
another	16
results	16
Mr	16
same	16
Chinese	16
areas	16
forward	16
come	16
set	16
few	16
home	16
period	15
without	15
face	15
education	15
back	15
did	15
business	15
might	15
away	15
analysis	15
order	15
methods	15
really	15
'm	15
Objective	15
because	15
better	15
old	14
today	14
money	14
always	14
together	14
little	14
operation	14
man	14
When	14
value	14
already	14
help	14
That	14
data	14
left	14
whole	14
even	14
image	14
support	13
those	13
market	13
performance	13
These	13
test	13
went	13
global	13
&	13
energy	13
next	13
area	13
often	13
second	13
still	13
provide	13
technology	13
problem	13
non	13
show	13
effect	13
role	12
place	12
making	12
power	12
application	12
public	12
type	12
conditions	12
hard	12
side	12
activities	12
Some	12
three	12
With	12
feel	12
product	12
later	12
problems	12
His	12
network	12
characteristics	12
great	12
reform	12
say	12
relationship	12
end	12
national	12
case	12
become	12
rate	12
able	11
heart	11
light	11
took	11
level	11
means	11
traditional	11
around	11
state	11
countries	11
key	11
project	11
give	11
tell	11
technique	11
present	11
found	11
model	11
several	11
systems	11
does	11
pressure	11
during	11
shall	11
true	11
against	11
construction	11
family	11
kind	11
cause	10
house	10
actually	10
improve	10
taking	10
reason	10
car	10
course	10
full	10
specific	10
makes	10
within	10
low	10
large	10
why	10
times	10
room	10
machine	10
computer	10
modern	10
All	10
students	10
production	10
enough	10
last	10
result	10
number	10
men	10
No	10
situation	10
mode	10
days	10
life	10
current	10
condition	10
simple	10
thing	9
higher	9
run	9
body	9
industry	9
never	9
working	9
words	9
Co	9
turn	9
health	9
meet	9
However	9
form	9
design	9
attention	9
software	9
everyone	9
After	9
parents	9
keep	9
Because	9
things	9
read	9
love	9
looking	9
example	9
understand	9
while	9
given	9
American	9
By	9
action	9
once	9
school	9
field	9
success	9
products	9
've	9
resources	9
far	9
space	9
gave	9
local	9
target	9
law	9
economy	9
developed	9
training	9
social	9
length	9
introduced	9
thought	9
matter	8
Our	8
principle	8
company	8
basic	8
experts	8
strength	8
My	8
choose	8
supply	8
sure	8
children	8
English	8
came	8
white	8
engineering	8
U	8
food	8
environment	8
ability	8
living	8
individual	8
live	8
woman	8
price	8
person	8
play	8
-up	8
United	8
prevent	8
article	8
yet	8
clear	8
surface	8
along	8
content	8
international	8
New	8
book	8
."	8
bank	8
says	8
real	8
instead	8
risk	8
small	8
big	8
industrial	8
something	8
Its	8
known	8
background	8
hand	8
ever	8
applied	8
solve	8
heard	8
At	8
So	8
interest	8
On	8
every	8
going	8
team	8
Do	7
personal	7
main	7
strategy	7
customers	7
medical	7
above	7
Please	7
mechanism	7
types	7
video	7
South	7
city	7
death	7
Ltd	7
needs	7
parts	7
quickly	7
am	7
caused	7
equipment	7
One	7
top	7
point	7
air	7
Today	7
applications	7
According	7
according	7
effects	7
discussed	7
soon	7
values	7
channel	7
effective	7
administrative	7
factors	7
getting	7
improving	7
common	7
theory	7
).	7
growth	7
considered	7
view	7
structure	7
complete	7
increasingly	7
four	7
